Epoch,Train_Accuracy,Test_Accuracy
1,0.8406944444444444,0.8255555555555556
2,0.92875,0.9122222222222223
3,0.9406944444444445,0.9255555555555556
4,0.9469444444444445,0.9338888888888889
5,0.9552777777777778,0.9355555555555556
6,0.9565277777777778,0.9394444444444444
7,0.9551388888888889,0.9394444444444444
8,0.9540277777777778,0.94
9,0.9508333333333333,0.9322222222222222
10,0.9493055555555555,0.9311111111111111
11,0.9477777777777778,0.9338888888888889
12,0.9477777777777778,0.9333333333333333
13,0.9513888888888888,0.935
14,0.9495833333333333,0.9311111111111111
15,0.9426388888888889,0.9294444444444444
16,0.9406944444444445,0.9294444444444444
17,0.9470833333333334,0.935
18,0.9525,0.9394444444444444
19,0.9527777777777777,0.9405555555555556
20,0.9538888888888889,0.9427777777777778
21,0.9527777777777777,0.9416666666666667
22,0.9531944444444445,0.9433333333333334
23,0.9529166666666666,0.9438888888888889
24,0.9527777777777777,0.9422222222222222
25,0.9579166666666666,0.9494444444444444
